2026-08-27 00:38:16.297 | PRESS | evento_001 | cmd
2026-08-27 00:38:17.812 | RELEASE | evento_002 | cmd
2026-08-27 00:38:19.314 | PRESS | evento_003 | e
2026-08-27 00:38:20.815 | RELEASE | evento_004 | e
2026-08-27 00:38:22.318 | PRESS | evento_005 | s
2026-08-27 00:38:23.820 | RELEASE | evento_006 | s
2026-08-27 00:38:25.323 | PRESS | evento_007 | t
2026-08-27 00:38:26.825 | RELEASE | evento_008 | t
2026-08-27 00:38:28.328 | PRESS | evento_009 | o
2026-08-27 00:38:29.830 | RELEASE | evento_010 | o
2026-08-27 00:38:31.332 | PRESS | evento_011 | space
2026-08-27 00:38:32.835 | RELEASE | evento_012 | space
2026-08-27 00:38:34.337 | PRESS | evento_013 | e
2026-08-27 00:38:35.839 | RELEASE | evento_014 | e
2026-08-27 00:38:37.341 | PRESS | evento_015 | s
2026-08-27 00:38:38.844 | RELEASE | evento_016 | s
2026-08-27 00:38:40.346 | PRESS | evento_017 | space
2026-08-27 00:38:41.849 | RELEASE | evento_018 | space
2026-08-27 00:38:43.351 | PRESS | evento_019 | u
2026-08-27 00:38:44.854 | RELEASE | evento_020 | u
2026-08-27 00:38:46.356 | PRESS | evento_021 | n
2026-08-27 00:38:47.858 | RELEASE | evento_022 | n
2026-08-27 00:38:49.360 | PRESS | evento_023 | a
2026-08-27 00:38:50.862 | RELEASE | evento_024 | a
2026-08-27 00:38:52.365 | PRESS | evento_025 | space
2026-08-27 00:38:53.867 | RELEASE | evento_026 | space
2026-08-27 00:38:55.370 | PRESS | evento_027 | p
2026-08-27 00:38:56.872 | RELEASE | evento_028 | p
2026-08-27 00:38:58.375 | PRESS | evento_029 | r
2026-08-27 00:38:59.877 | RELEASE | evento_030 | r
2026-08-27 00:39:01.380 | PRESS | evento_031 | u
2026-08-27 00:39:02.883 | RELEASE | evento_032 | u
2026-08-27 00:39:04.385 | PRESS | evento_033 | e
2026-08-27 00:39:05.887 | RELEASE | evento_034 | e
2026-08-27 00:39:07.390 | PRESS | evento_035 | b
2026-08-27 00:39:08.892 | RELEASE | evento_036 | b
2026-08-27 00:39:10.395 | PRESS | evento_037 | a
2026-08-27 00:39:11.897 | RELEASE | evento_038 | a
2026-08-27 00:39:13.400 | PRESS | evento_039 | space
